Name,1 Day Fees,7 Day Fees,Date_Stamp
stakers.info,,,2021-09-06
ethereumnodes.com,,,2021-09-06
Ethereum,45940912.56,49317536.52,2021-09-06
Uniswap,4241342.82,4574776.63,2021-09-06
Binance Smart ChainBSC,2863434.19,3215885.68,2021-09-06
Aave,1773021.48,1835374.04,2021-09-06
SushiSwap,911164.07,1153649.34,2021-09-06
Compound,799672.27,827018.99,2021-09-06
Bitcoin,547578.50,735628.34,2021-09-06
Quickswap,251934.66,264176.75,2021-09-06
MakerDAO,132565.14,125709.26,2021-09-06
Balancer,103114.96,155793.54,2021-09-06
Optimism,97871.02,118682.38,2021-09-06
Bancor,82862.03,115314.92,2021-09-06
Avalanche,69632.48,99757.93,2021-09-06
Synthetix,61377.10,39388.42,2021-09-06
Cardano,47891.57,47829.60,2021-09-06
Polygon,31253.09,30838.52,2021-09-06
Tornado Cash,25220.64,20483.27,2021-09-06
Terra,22277.97,24123.52,2021-09-06
Fantom,17261.95,20439.89,2021-09-06
Dfyn,16817.40,20972.92,2021-09-06
Dogecoin,16172.98,15887.40,2021-09-06
Liquity,8402.79,24819.84,2021-09-06
Bitcoin SV,6350.08,7327.38,2021-09-06
Zilliqa,6231.52,4310.40,2021-09-06
Tezos,5661.77,8527.11,2021-09-06
Ripple,4278.89,2440.44,2021-09-06
Litecoin,3708.12,3229.52,2021-09-06
xDai,2427.23,7238.05,2021-09-06
Polymarket,1446.61,2761.70,2021-09-06
HoneySwap,1174.95,1799.07,2021-09-06
Monero,1112.29,1234.70,2021-09-06
Arbitrum One,1002.76,930.03,2021-09-06
Bitcoin Cash,730.52,880.87,2021-09-06
Stellar,477.36,339.52,2021-09-06
Swapr,290.64,515.67,2021-09-06
tBTC,275.61,39.37,2021-09-06
Polkadot,211.35,340.58,2021-09-06
Linkswap,35.06,74.19,2021-09-06
Hegic,5.00,1475.78,2021-09-06
Kusama,1.91,3.60,2021-09-06
